FisheryID, Name,Year,HRS
1,PT_Fishery,2014,1
2,US_PT_Fishery,2014,1
3,Term_Fishery,2014,1
4,US_Term_Fishery,2014,1
1,PT_Fishery,2019,0.95
2,US_PT_Fishery,2019,0.95
3,Term_Fishery,2019,0.95
4,US_Term_Fishery,2019,0.95
1,PT_Fishery,2020,0.9
2,US_PT_Fishery,2020,0.9
3,Term_Fishery,2020,0.9
4,US_Term_Fishery,2020,0.9
1,PT_Fishery,2021,0.85
2,US_PT_Fishery,2021,0.85
3,Term_Fishery,2021,0.85
4,US_Term_Fishery,2021,0.85
1,PT_Fishery,2022,0.8
2,US_PT_Fishery,2022,0.8
3,Term_Fishery,2022,0.8
4,US_Term_Fishery,2022,0.8
1,PT_Fishery,2023,0.75
2,US_PT_Fishery,2023,0.75
3,Term_Fishery,2023,0.75
4,US_Term_Fishery,2023,0.75
1,PT_Fishery,2024,0.75
2,US_PT_Fishery,2024,0.75
3,Term_Fishery,2024,0.75
4,US_Term_Fishery,2024,0.75
1,PT_Fishery,2025,0.75
2,US_PT_Fishery,2025,0.75
3,Term_Fishery,2025,0.75
4,US_Term_Fishery,2025,0.75
1,PT_Fishery,2026,0.75
2,US_PT_Fishery,2026,0.75
3,Term_Fishery,2026,0.75
4,US_Term_Fishery,2026,0.75
1,PT_Fishery,2027,0.75
2,US_PT_Fishery,2027,0.75
3,Term_Fishery,2027,0.75
4,US_Term_Fishery,2027,0.75
1,PT_Fishery,2028,0.75
2,US_PT_Fishery,2028,0.75
3,Term_Fishery,2028,0.75
4,US_Term_Fishery,2028,0.75
1,PT_Fishery,2029,0.75
2,US_PT_Fishery,2029,0.75
3,Term_Fishery,2029,0.75
4,US_Term_Fishery,2029,0.75
1,PT_Fishery,2030,0.75
2,US_PT_Fishery,2030,0.75
3,Term_Fishery,2030,0.75
4,US_Term_Fishery,2030,0.75
